vanilla_reward,vanilla_loss,vanilla_max_q_value,vanilla_avg_q_value,vanilla_steps,vanilla_clipped_reward,double_reward,double_loss,double_max_q_value,double_avg_q_value,double_steps,double_clipped_reward
-21.0,0.6871582443127409,0.1664032489061355,-0.4785554960395933,877,-1,-20.0,0.6940302571747452,-0.11239670217037201,-0.6986211312706674,899,-1
-20.0,0.7098152503604069,0.2677001953125,-0.4848527308277157,897,-1,-20.0,0.7719252587994561,-0.027895303443074226,-0.6292758876513995,1044,-1
-21.0,0.6223722719587386,0.1630343794822693,-0.4890869371580612,817,-1,-20.0,0.5685832602903247,-0.12508778274059296,-0.7668602814922082,839,-1
-19.0,0.7840618037735112,0.1792113780975341,-0.4674173507190768,1039,-1,-20.0,0.5686310827732086,-0.13944023847579956,-0.7418772260693308,839,-1
-20.0,0.8654744046507403,0.2850843369960785,-0.4154280181697197,1167,-1,-19.0,0.6963744384702295,-0.13978689908981323,-0.71264161295082,1018,-1
-21.0,0.7690499861491844,0.1774963438510894,-0.4933087623497111,1005,-1,-20.0,0.5545070062507875,-0.14262190461158752,-0.8141583907768953,839,-1
-19.0,0.8175792073598132,0.1778855323791504,-0.5186206740299624,1005,-1,-18.0,0.910825262137223,-0.09754844009876251,-0.6925164352566818,1252,-1
-21.0,0.7361523552681319,0.160029724240303,-0.5143208151006233,946,-1,-21.0,0.678519504959695,-0.1199575886130333,-0.7500658744425918,882,-1
-21.0,0.632550923153758,0.1229922622442245,-0.5704276526339803,780,-1,-21.0,0.778828529000748,-0.11838489025831223,-0.7439777333587686,1034,-1
-21.0,0.6628171829506755,0.0657040923833847,-0.5824718475500543,807,-1,-21.0,0.6665915192570537,-0.13675102591514587,-0.7922680467436003,859,-1
-18.0,0.8898855270817876,0.058410532772541,-0.5153041566600696,1186,-1,-21.0,0.6453697244869545,-0.1492680460214615,-0.7882355408957941,821,-1
-21.0,0.6405910209286958,0.1660059839487075,-0.6445743094268095,827,-1,-20.0,0.7918755158316344,-0.010937977582216263,-0.7647655325950612,988,-1
-21.0,0.6800751249538735,0.0802216008305549,-0.6184231625055946,883,-1,-20.0,0.7038434691494331,-0.15509642660617828,-0.7705372103803,899,-1
-21.0,0.8338689032243565,0.0188704244792461,-0.5980020599233157,1043,-1,-19.0,0.9489922121865675,0.01322956383228302,-0.7009572638205896,1225,-1
-21.0,0.7508168015629053,0.0219385884702205,-0.6081090417758391,947,-1,-20.0,0.6729589882306755,-0.14517322182655334,-0.8029104306855621,868,-1
-18.0,0.860605469730217,0.3071439862251282,-0.539789801553794,1152,-1,-20.0,0.7509385365992785,-0.03127077594399452,-0.7267277676240986,975,-1
-21.0,0.693849511560984,0.1280414462089538,-0.6111149593996693,956,-1,-21.0,0.7515899041900411,-0.011185097508132458,-0.695690515765062,943,-1
-20.0,0.797864334541373,0.0390707850456237,-0.5857813935178127,1020,-1,-21.0,0.6288913725875318,-0.17050223052501678,-0.8485791844960239,780,-1
-21.0,0.6012448843102902,0.0497636385262012,-0.617125413288743,819,-1,-21.0,0.6518051321618259,-0.12384471297264099,-0.8397037024532656,780,-1
-21.0,0.8604665290331468,0.0012222900986671,-0.5798692514693593,1101,-1,-21.0,0.7219202492851764,-0.08398963510990143,-0.8225354902679092,854,-1
-20.0,0.7689978936687112,0.1511555314064026,-0.5851576267803494,928,-1,-19.0,0.8515111370943487,0.0019879061728715897,-0.7545930096464021,1040,-1
-21.0,0.7118435582378879,0.0005105528980493,-0.6135252549144131,899,-1,-21.0,0.7064748125849292,0.08364832401275635,-0.788330173158708,836,-1
-20.0,1.0090749050723389,0.05123021453619,-0.5669366564656909,1145,-1,-21.0,0.5915324417874217,-0.1476951390504837,-0.8663469806005989,840,-1
-18.0,0.8731624882202595,0.0235686972737312,-0.5480634806075728,1035,-1,-18.0,0.9007720565423369,-0.11952902376651764,-0.758937972966592,1142,-1
-21.0,0.7220064768334851,0.0323496535420417,-0.6163552422205814,868,-1,-21.0,0.7383051865035668,0.08210431784391403,-0.847871991411775,896,-1
-17.0,1.1348951193504035,0.0742069780826568,-0.5135893613047954,1287,-1,-21.0,0.7895374699728563,-0.10052047669887543,-0.8482012534309701,963,-1
-17.0,1.1564516585785896,0.4414001703262329,-0.4901545415109181,1405,-1,-21.0,0.7386928203050047,0.01875518448650837,-0.8079423992735069,928,-1
-18.0,1.2794311925536022,0.0545719936490058,-0.5067212788657328,1574,-1,-20.0,0.6957512961234897,0.03438109904527664,-0.8928837427866214,868,-1
-19.0,0.8723103943048045,0.1275937408208847,-0.5421714486023811,1086,-1,-20.0,0.7385267220670357,-0.0693913996219635,-0.8196866864782293,946,-1
-20.0,0.8357734649907798,0.110037513077259,-0.5451017712823787,1075,-1,-20.0,0.8337958129122853,-0.08631554245948792,-0.8293047079368208,976,-1
-21.0,0.9811448382679372,0.1026451140642166,-0.5326180314357529,1265,-1,-21.0,0.9125414007576182,0.09275665134191513,-0.766776804887048,1081,-1
-20.0,0.976325117633678,0.0636879876255989,-0.5330471342331207,1241,-1,-19.0,1.0150502690812573,0.22865571081638336,-0.7448660978127892,1111,-1
